Les dix petits nègres;Agatha Christie;Coup de cœur;
Darkest minds : Rebellion;Alexandra Bracken;Bien;Niais mais 3ème tome super
Adam et Eve;Amélie Nothomb;Mauvais;Présomption + Lâcheté 
Le fait du prince ;Amélie Nothomb;Mauvais;Aucune crédibilité 
Cosmétique de l'ennemi;Amélie Nothomb;Pas mal;Ecriture lourde  
Derrière les portes ;B.A Paris;Bien;2ème moitié stylée, 1ère longue
Le sixième sommeil;Bernard Werber;Bien;Ecriture lourde + Héros antipathique
Les thanatonautes;Bernard Werber;Bien;Ecriture lourde + Héros antipathique
Compteur d'anges;Claire Favan;Bien;Début Coup de cœur + direction suivie bof
Les loyautés;Delphine De Vigan;Très bien;
D'après une histoire vraie;Delphine De Vigan;Coup de cœur;Titre ironique + Fin ouverte
Rien ne s'oppose à la nuit;Delphine De Vigan;Coup de cœur;
Les pétales de sang;Dorothy Koomson;Très bien;
Le trône de fer;George R. R. Martin;Très bien;
Double Piège;Harlan Coben;Très bien;Un peu lent
Intimidation;Harlan Coben;Très bien;
Juste un regard;Harlan Coben;Très bien;
Harry Potter;J. K. Rowling;Très bien;
Deux gouttes d'eau;Jacques Expert;Pas mal;Patron énervant + procédure lente et incomplète + fin évidente
Hortense;Jacques Expert;Bien;Questions sans réponse + Lent
Qui ?;Jacques Expert;Très bien;
Les assassins de la 5ème B;Kanae Minato;Coup de cœur;Psychologique
Les 100;Kass Morgan;Pas mal;Trop d'histoires d'amour + cliché
Dans le jardin de l'ogre;Leïla Slimani;Bof;Aucune émotion relayée
Chanson Douce;Leïla Slimani;Coup de cœur;Psychologique
Le saut de l'ange;Lisa Gardner;Bien;Résolution et fin pas claire
Sauver sa peau;Lisa Gardner;Très bien;
Quand j'étais invisible;Martin Pistorius;Bien;Triste + Deuxième moitié niaise
Le cri;Nicolas Bleuglet;Bien;Un peu long et niais sur la fin
Martyrs;Olivier Peru;Coup de cœur;Intrigue + Suspens + Niaiserie
L'échange;Rebecca Fleet;Pas mal;Personnages pas attachants + prévisible
L'assassin Royal;Robin Hobb;Coup de cœur;Intrigue
Avant d'aller dormir;S. J. Watson;Très bien;
Le doute;S.K Tremayne;Pas mal;Couple antipathique
Une femme entre nous;Sarah Pekkanen;Coup de cœur;Gros rebondissements inatendus mais fin moyenne
Uglies;Scott Westerfeld;Bien;
Tara Duncan;Sophie Audouin-Mamikonian;Bien;Enfantin + Fin excécrable 
Lettre d'une inconnue;Stefan Zweig;Bien;Superficiel
Jessie;Stephen King;Bof;Lent
La peau sur les os;Stephen King;Pas mal;
Sac d'os;Stephen King;Pas mal;
La part des ténèbres;Stephen King;Bien;
Charlie;Stephen King;Bien;
Christine;Stephen King;Bien;
Ca ;Stephen King;Très bien;Fin nulle
Docteur Sleep;Stephen King;Très bien;
La ligne verte;Stephen King;Très bien;
Marche ou crève;Stephen King;Très bien;
Misery;Stephen King;Très bien;
Shining;Stephen King;Très bien;
Dôme;Stephen King;Coup de cœur;
La Vague;Todd Strasser;Pas mal;
Personne n'est venu;Toni Maguire (Robbie Garner);Coup de cœur;Biographie + Triste
Ils ont volé mon innocence;Tony Maguire;Bien;
Ils ont laissé papa revenir;Tony Maguire;Très bien;
Ne le dis pas à maman;Tony Maguire;Très bien;
Pourquoi personne ne m'a aidée ?;Tony Maguire;Très bien;
Les oubliés du dimanche;Valérie Perrin;Coup de cœur;Plein d'intrigues à la fois
Emma dans la nuit;Wendy Walker;Coup de cœur;Fin prévisible mais amenée de manière intéressante
Changer l'eau des fleurs;Valérie Perrin;Coup de cœur;
Le tueur intime;Claire Favan;Coup de cœur;
Rituel de chair;Graham Masterton;;
